"@timestamp","kubernetes.labels.app_kubernetes_io/instance","data.topic","data.created"
"December 9th 2019, 21:04:39.760","node-26",zdpuAytiST38opAE6PKLSgwXfpKopxCGgDVxQgqSkCy5ovRB3,"December 9th 2019, 21:04:39.760"
"December 9th 2019, 21:04:39.760","node-8",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:39.760"
"December 9th 2019, 21:04:39.511","node-8",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:39.511"
"December 9th 2019, 21:04:39.507","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:39.507"
"December 9th 2019, 21:04:39.293","node-8",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:39.293"
"December 9th 2019, 21:04:39.287","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:39.287"
"December 9th 2019, 21:04:39.066","node-8",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:39.065"
"December 9th 2019, 21:04:39.066","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:39.066"
"December 9th 2019, 21:04:38.838","node-26",zdpuAytiST38opAE6PKLSgwXfpKopxCGgDVxQgqSkCy5ovRB3,"December 9th 2019, 21:04:38.837"
"December 9th 2019, 21:04:38.835","node-8",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:38.835"
"December 9th 2019, 21:04:38.530","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:38.530"
"December 9th 2019, 21:04:38.528","node-8",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:38.528"
"December 9th 2019, 21:04:38.309","node-26",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:38.309"
"December 9th 2019, 21:04:38.305","node-8",zdpuArQtUnptd2zHyTvPtJMWyqs7xHJR2ELZNrb1Hg7N72fUc,"December 9th 2019, 21:04:38.305"
"December 9th 2019, 21:04:37.871","node-8",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:37.871"
"December 9th 2019, 21:04:37.647","node-8",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:37.647"
"December 9th 2019, 21:04:37.457","node-26",zdpuAuPn773Q5bxMNJaRQJmbadA6oEgSRkhPYZkWYp1QeQUBM,"December 9th 2019, 21:04:37.457"
