"@timestamp","kubernetes.labels.app_kubernetes_io/instance","data.size"
"December 9th 2019, 21:37:58.050","node-66",8
"December 9th 2019, 21:37:55.101","node-48",19
"December 9th 2019, 21:37:54.612","node-94",12
"December 9th 2019, 21:37:53.428","node-45",32
"December 9th 2019, 21:37:52.684","node-26",0
"December 9th 2019, 21:37:47.586","node-71",16
"December 9th 2019, 21:37:47.114","node-72",10
"December 9th 2019, 21:37:46.969","node-52",8
"December 9th 2019, 21:37:46.768","node-51",4
"December 9th 2019, 21:37:46.247","node-5",9
"December 9th 2019, 21:37:44.652","node-25",16
"December 9th 2019, 21:37:44.585","node-8",21
"December 9th 2019, 21:37:43.606","node-28",22
"December 9th 2019, 21:37:41.742","node-30",10
"December 9th 2019, 21:37:40.747","node-27",6
"December 9th 2019, 21:37:40.390","node-9",13
"December 9th 2019, 21:37:39.462","node-74",28
"December 9th 2019, 21:37:39.048","node-12",5
"December 9th 2019, 21:37:37.734","node-29",5
"December 9th 2019, 21:37:37.672","node-32",18
"December 9th 2019, 21:37:37.650","node-76",7
"December 9th 2019, 21:37:36.905","node-81",8
"December 9th 2019, 21:37:35.605","node-83",6
"December 9th 2019, 21:37:35.603","node-84",32
"December 9th 2019, 21:37:35.467","node-54",29
"December 9th 2019, 21:37:35.000","node-53",10
"December 9th 2019, 21:37:34.905","node-75",18
"December 9th 2019, 21:37:34.662","node-1",0
"December 9th 2019, 21:37:33.972","node-56",11
"December 9th 2019, 21:37:33.665","node-34",38
"December 9th 2019, 21:37:33.186","node-36",31
"December 9th 2019, 21:37:32.506","node-78",14
"December 9th 2019, 21:37:31.342","node-77",22
"December 9th 2019, 21:37:30.911","node-33",3
"December 9th 2019, 21:37:29.930","node-58",9
"December 9th 2019, 21:37:29.739","node-60",36
"December 9th 2019, 21:37:29.734","node-35",5
"December 9th 2019, 21:37:29.416","node-59",10
"December 9th 2019, 21:37:25.869","node-13",10
"December 9th 2019, 21:37:25.281","node-93",8
"December 9th 2019, 21:37:22.806","node-86",10
"December 9th 2019, 21:37:20.779","node-88",10
"December 9th 2019, 21:37:17.376","node-37",4
"December 9th 2019, 21:37:17.189","node-97",12
"December 9th 2019, 21:37:16.412","node-39",34
"December 9th 2019, 21:37:15.963","node-99",14
"December 9th 2019, 21:37:15.526","node-61",11
"December 9th 2019, 21:37:15.515","node-16",0
"December 9th 2019, 21:37:14.321","node-62",12
"December 9th 2019, 21:37:14.082","node-100",12
"December 9th 2019, 21:37:13.582","node-63",8
"December 9th 2019, 21:37:13.465","node-42",13
"December 9th 2019, 21:37:13.122","node-41",6
"December 9th 2019, 21:37:12.961","node-44",15
"December 9th 2019, 21:37:12.162","node-18",8
"December 9th 2019, 21:37:10.914","node-3",10
"December 9th 2019, 21:37:10.575","node-19",15
"December 9th 2019, 21:37:10.249","node-89",9
"December 9th 2019, 21:37:09.637","node-91",8
"December 9th 2019, 21:37:00.953","node-22",15
"December 9th 2019, 21:37:00.048","node-23",15
"December 9th 2019, 21:36:59.718","node-67",13
"December 9th 2019, 21:36:59.152","node-24",10
"December 9th 2019, 21:36:58.461","node-21",40
"December 9th 2019, 21:36:58.426","node-65",13
"December 9th 2019, 21:36:58.050","node-66",8
"December 9th 2019, 21:36:55.103","node-48",19
"December 9th 2019, 21:36:54.594","node-94",12
"December 9th 2019, 21:36:53.426","node-45",32
"December 9th 2019, 21:36:52.684","node-26",0
"December 9th 2019, 21:36:47.585","node-71",16
"December 9th 2019, 21:36:47.115","node-72",10
"December 9th 2019, 21:36:46.968","node-52",8
"December 9th 2019, 21:36:46.769","node-51",4
"December 9th 2019, 21:36:46.252","node-5",9
"December 9th 2019, 21:36:44.651","node-25",16
"December 9th 2019, 21:36:44.587","node-8",21
"December 9th 2019, 21:36:43.614","node-28",22
"December 9th 2019, 21:36:41.739","node-30",10
"December 9th 2019, 21:36:40.747","node-27",6
"December 9th 2019, 21:36:40.376","node-9",13
"December 9th 2019, 21:36:39.462","node-74",28
"December 9th 2019, 21:36:39.047","node-12",5
"December 9th 2019, 21:36:37.731","node-29",5
"December 9th 2019, 21:36:37.672","node-32",18
"December 9th 2019, 21:36:37.650","node-76",7
"December 9th 2019, 21:36:36.904","node-81",8
"December 9th 2019, 21:36:35.605","node-83",6
"December 9th 2019, 21:36:35.603","node-84",32
"December 9th 2019, 21:36:35.466","node-54",29
"December 9th 2019, 21:36:35.002","node-53",10
"December 9th 2019, 21:36:34.904","node-75",18
"December 9th 2019, 21:36:34.662","node-1",0
"December 9th 2019, 21:36:33.972","node-56",11
"December 9th 2019, 21:36:33.666","node-34",38
"December 9th 2019, 21:36:33.182","node-36",31
"December 9th 2019, 21:36:32.506","node-78",14
"December 9th 2019, 21:36:31.341","node-77",22
"December 9th 2019, 21:36:30.910","node-33",3
"December 9th 2019, 21:36:29.929","node-58",9
"December 9th 2019, 21:36:29.746","node-60",36
"December 9th 2019, 21:36:29.735","node-35",5
"December 9th 2019, 21:36:29.416","node-59",10
"December 9th 2019, 21:36:25.868","node-13",10
"December 9th 2019, 21:36:25.288","node-93",8
